,Date,LST,County_FIP
229,2020-12-24,,111
287,2020-12-25,292.95717799567893,111
345,2020-12-26,285.966454183267,111
403,2020-12-27,288.31733716475094,111
461,2020-12-28,,111
519,2020-12-29,286.7685395965071,111
577,2020-12-30,284.9893543758967,111
635,2020-12-31,286.69357740585775,111
56,2020-12-21,288.3239260969977,113
114,2020-12-22,285.0320731707317,113
172,2020-12-23,286.3475447781758,113
230,2020-12-24,281.0393548387097,113
288,2020-12-25,,113
346,2020-12-26,286.061460023175,113
404,2020-12-27,,113
462,2020-12-28,282.932016293279,113
520,2020-12-29,283.7369494047619,113
578,2020-12-30,286.2231140235911,113
636,2020-12-31,283.6086419753086,113
57,2020-12-21,285.77856133590234,115
115,2020-12-22,283.8761048387097,115
173,2020-12-23,283.85506994693685,115
231,2020-12-24,276.95220338983046,115
289,2020-12-25,,115
347,2020-12-26,285.60486825595984,115
405,2020-12-27,,115
463,2020-12-28,278.3375724637681,115
521,2020-12-29,282.71300334448165,115
579,2020-12-30,284.053572003218,115
637,2020-12-31,278.2890138248848,115
